name,season,team,salary,candidate_1_id,candidate_1_score,candidate_2_id,candidate_2_score,candidate_3_id,candidate_3_score
Mohamed Bamba,2020-2021,ORL,,2106,76.19047619047619,2833,71.42857142857143,1141,61.53846153846154
Luca Vildoza,2020-2021,NYK,,2826,57.14285714285714,2426,54.54545454545454,1718,53.84615384615385
Wesley Iwundu,2020-2021,NOP,,2022,86.95652173913044,437,61.53846153846154,1422,59.25925925925925
Sviatoslav Mykhailiuk,2020-2021,OKC,,2116,80.0,1807,51.61290322580645,1628,51.28205128205128
Nicolas Claxton,2020-2021,BKN,,2216,84.61538461538461,3669,73.33333333333334,1285,71.42857142857143
Caleb Homesley,2020-2021,WAS,,2478,66.66666666666667,2773,66.66666666666667,68,64.28571428571428
Luca Vildoza,2021-2022,MIL,42789,2826,57.14285714285714,2426,54.54545454545454,1718,53.84615384615385
Mohamed Bamba,2021-2022,ORL,,2106,76.19047619047619,2833,71.42857142857143,1141,61.53846153846154
Ishmael Smith,2021-2022,WAS,,312,84.61538461538461,1389,81.81818181818181,2130,72.0
Nah'Shon Hyland,2021-2022,DEN,,2352,69.23076923076923,2256,66.66666666666667,3344,62.06896551724138
Cameron Thomas,2021-2022,BKN,,2357,83.33333333333334,63,80.0,631,76.92307692307692
Nicolas Claxton,2021-2022,BKN,,2216,84.61538461538461,3669,73.33333333333334,1285,71.42857142857143
Sviatoslav Mykhailiuk,2021-2022,TOR,,2116,80.0,1807,51.61290322580645,1628,51.28205128205128
Wesley Iwundu,2021-2022,ATL,,2022,86.95652173913044,437,61.53846153846154,1422,59.25925925925925
Aric Holman,2021-2022,MIA,,121,69.23076923076923,1686,66.66666666666667,2297,66.66666666666667
Malik Ellison,2021-2022,ATL,,778,75.0,1278,74.07407407407408,2622,74.07407407407408
Justin Tillman,2021-2022,ATL,,1126,75.86206896551724,1474,71.42857142857143,1620,68.96551724137932
Ishmail Wainright,2021-2022,PHX,,2387,86.66666666666667,383,64.51612903225806,2433,62.5
Mohamed Bamba,2022-2023,ORL,,2106,76.19047619047619,2833,71.42857142857143,1141,61.53846153846154
Nicolas Claxton,2022-2023,BKN,,2216,84.61538461538461,3669,73.33333333333334,1285,71.42857142857143
Ishmael Smith,2022-2023,DEN,,312,84.61538461538461,1389,81.81818181818181,2130,72.0
Nah'Shon Hyland,2022-2023,DEN,,2352,69.23076923076923,2256,66.66666666666667,3344,62.06896551724138
Cameron Thomas,2022-2023,BKN,,2357,83.33333333333334,63,80.0,631,76.92307692307692
Sviatoslav Mykhailiuk,2022-2023,NYK,,2116,80.0,1807,51.61290322580645,1628,51.28205128205128
